threshold,VP,VN,FP,FN,TPR,S,FPR,FNR,TNR,E
0.103651,922,1432,128,508,0.6447552447552447,0.6447552447552447,0.08205128205128205,0.35524475524475524,0.9179487179487179,0.9179487179487179
0.103939,921,1432,128,509,0.644055944055944,0.644055944055944,0.08205128205128205,0.3559440559440559,0.9179487179487179,0.9179487179487179
0.103976,920,1432,128,510,0.6433566433566433,0.6433566433566433,0.08205128205128205,0.35664335664335667,0.9179487179487179,0.9179487179487179
0.103984,919,1432,128,511,0.6426573426573426,0.6426573426573426,0.08205128205128205,0.35734265734265735,0.9179487179487179,0.9179487179487179
0.104,918,1432,128,512,0.641958041958042,0.641958041958042,0.08205128205128205,0.35804195804195804,0.9179487179487179,0.9179487179487179
0.104063,917,1432,128,513,0.6412587412587413,0.6412587412587413,0.08205128205128205,0.35874125874125873,0.9179487179487179,0.9179487179487179
0.10427,917,1433,127,513,0.6412587412587413,0.6412587412587413,0.08141025641025641,0.35874125874125873,0.9185897435897435,0.9185897435897435
0.104323,916,1433,127,514,0.6405594405594406,0.6405594405594406,0.08141025641025641,0.3594405594405594,0.9185897435897435,0.9185897435897435
0.104513,915,1433,127,515,0.6398601398601399,0.6398601398601399,0.08141025641025641,0.36013986013986016,0.9185897435897435,0.9185897435897435
0.104663,915,1434,126,515,0.6398601398601399,0.6398601398601399,0.08076923076923077,0.36013986013986016,0.9192307692307692,0.9192307692307692
0.10493,914,1434,126,516,0.6391608391608392,0.6391608391608392,0.08076923076923077,0.36083916083916084,0.9192307692307692,0.9192307692307692
0.105425,913,1434,126,517,0.6384615384615384,0.6384615384615384,0.08076923076923077,0.36153846153846153,0.9192307692307692,0.9192307692307692
0.105523,912,1434,126,518,0.6377622377622377,0.6377622377622377,0.08076923076923077,0.3622377622377622,0.9192307692307692,0.9192307692307692
0.105641,911,1434,126,519,0.637062937062937,0.637062937062937,0.08076923076923077,0.36293706293706296,0.9192307692307692,0.9192307692307692
0.105809,911,1435,125,519,0.637062937062937,0.637062937062937,0.08012820512820513,0.36293706293706296,0.9198717948717948,0.9198717948717948
0.105825,911,1436,124,519,0.637062937062937,0.637062937062937,0.07948717948717948,0.36293706293706296,0.9205128205128205,0.9205128205128205
0.106095,910,1436,124,520,0.6363636363636364,0.6363636363636364,0.07948717948717948,0.36363636363636365,0.9205128205128205,0.9205128205128205
0.106339,910,1437,123,520,0.6363636363636364,0.6363636363636364,0.07884615384615384,0.36363636363636365,0.9211538461538461,0.9211538461538461
0.106605,909,1437,123,521,0.6356643356643357,0.6356643356643357,0.07884615384615384,0.36433566433566433,0.9211538461538461,0.9211538461538461
0.107246,908,1437,123,522,0.634965034965035,0.634965034965035,0.07884615384615384,0.365034965034965,0.9211538461538461,0.9211538461538461
0.107358,907,1437,123,523,0.6342657342657343,0.6342657342657343,0.07884615384615384,0.3657342657342657,0.9211538461538461,0.9211538461538461
0.107514,906,1437,123,524,0.6335664335664336,0.6335664335664336,0.07884615384615384,0.36643356643356645,0.9211538461538461,0.9211538461538461
0.107792,905,1437,123,525,0.6328671328671329,0.6328671328671329,0.07884615384615384,0.36713286713286714,0.9211538461538461,0.9211538461538461
0.107987,904,1437,123,526,0.6321678321678321,0.6321678321678321,0.07884615384615384,0.3678321678321678,0.9211538461538461,0.9211538461538461
0.108007,904,1438,122,526,0.6321678321678321,0.6321678321678321,0.0782051282051282,0.3678321678321678,0.9217948717948717,0.9217948717948717
0.10823,904,1439,121,526,0.6321678321678321,0.6321678321678321,0.07756410256410257,0.3678321678321678,0.9224358974358975,0.9224358974358975
0.108241,903,1439,121,527,0.6314685314685314,0.6314685314685314,0.07756410256410257,0.3685314685314685,0.9224358974358975,0.9224358974358975
0.108508,903,1440,120,527,0.6314685314685314,0.6314685314685314,0.07692307692307693,0.3685314685314685,0.9230769230769231,0.9230769230769231
0.108844,902,1440,120,528,0.6307692307692307,0.6307692307692307,0.07692307692307693,0.36923076923076925,0.9230769230769231,0.9230769230769231
0.109188,902,1441,119,528,0.6307692307692307,0.6307692307692307,0.07628205128205129,0.36923076923076925,0.9237179487179488,0.9237179487179488
0.109572,901,1441,119,529,0.6300699300699301,0.6300699300699301,0.07628205128205129,0.36993006993006994,0.9237179487179488,0.9237179487179488
0.109878,900,1441,119,530,0.6293706293706294,0.6293706293706294,0.07628205128205129,0.3706293706293706,0.9237179487179488,0.9237179487179488
0.110041,899,1441,119,531,0.6286713286713287,0.6286713286713287,0.07628205128205129,0.3713286713286713,0.9237179487179488,0.9237179487179488
0.110081,898,1441,119,532,0.627972027972028,0.627972027972028,0.07628205128205129,0.37202797202797205,0.9237179487179488,0.9237179487179488
0.110384,897,1441,119,533,0.6272727272727273,0.6272727272727273,0.07628205128205129,0.37272727272727274,0.9237179487179488,0.9237179487179488
0.110664,896,1441,119,534,0.6265734265734266,0.6265734265734266,0.07628205128205129,0.3734265734265734,0.9237179487179488,0.9237179487179488
0.111524,896,1442,118,534,0.6265734265734266,0.6265734265734266,0.07564102564102564,0.3734265734265734,0.9243589743589744,0.9243589743589744
0.111727,895,1442,118,535,0.6258741258741258,0.6258741258741258,0.07564102564102564,0.3741258741258741,0.9243589743589744,0.9243589743589744
0.11215,894,1442,118,536,0.6251748251748251,0.6251748251748251,0.07564102564102564,0.3748251748251748,0.9243589743589744,0.9243589743589744
0.112337,893,1442,118,537,0.6244755244755245,0.6244755244755245,0.07564102564102564,0.37552447552447554,0.9243589743589744,0.9243589743589744
0.11236,893,1443,117,537,0.6244755244755245,0.6244755244755245,0.075,0.37552447552447554,0.925,0.925
0.112418,893,1444,116,537,0.6244755244755245,0.6244755244755245,0.07435897435897436,0.37552447552447554,0.9256410256410257,0.9256410256410257
0.113043,892,1444,116,538,0.6237762237762238,0.6237762237762238,0.07435897435897436,0.37622377622377623,0.9256410256410257,0.9256410256410257
0.113246,891,1444,116,539,0.6230769230769231,0.6230769230769231,0.07435897435897436,0.3769230769230769,0.9256410256410257,0.9256410256410257
0.113614,891,1445,115,539,0.6230769230769231,0.6230769230769231,0.07371794871794872,0.3769230769230769,0.9262820512820513,0.9262820512820513
0.114323,890,1445,115,540,0.6223776223776224,0.6223776223776224,0.07371794871794872,0.3776223776223776,0.9262820512820513,0.9262820512820513
0.11437,889,1445,115,541,0.6216783216783217,0.6216783216783217,0.07371794871794872,0.37832167832167835,0.9262820512820513,0.9262820512820513
0.114486,889,1446,114,541,0.6216783216783217,0.6216783216783217,0.07307692307692308,0.37832167832167835,0.926923076923077,0.926923076923077
0.114522,888,1446,114,542,0.620979020979021,0.620979020979021,0.07307692307692308,0.37902097902097903,0.926923076923077,0.926923076923077
0.114641,887,1446,114,543,0.6202797202797202,0.6202797202797202,0.07307692307692308,0.3797202797202797,0.926923076923077,0.926923076923077
0.114688,887,1447,113,543,0.6202797202797202,0.6202797202797202,0.07243589743589744,0.3797202797202797,0.9275641025641026,0.9275641025641026
0.115122,887,1448,112,543,0.6202797202797202,0.6202797202797202,0.07179487179487179,0.3797202797202797,0.9282051282051282,0.9282051282051282
0.115538,886,1448,112,544,0.6195804195804195,0.6195804195804195,0.07179487179487179,0.3804195804195804,0.9282051282051282,0.9282051282051282
0.115691,885,1448,112,545,0.6188811188811189,0.6188811188811189,0.07179487179487179,0.3811188811188811,0.9282051282051282,0.9282051282051282
0.115839,884,1448,112,546,0.6181818181818182,0.6181818181818182,0.07179487179487179,0.38181818181818183,0.9282051282051282,0.9282051282051282
0.116118,883,1448,112,547,0.6174825174825175,0.6174825174825175,0.07179487179487179,0.3825174825174825,0.9282051282051282,0.9282051282051282
0.117481,882,1448,112,548,0.6167832167832168,0.6167832167832168,0.07179487179487179,0.3832167832167832,0.9282051282051282,0.9282051282051282
0.117517,881,1448,112,549,0.6160839160839161,0.6160839160839161,0.07179487179487179,0.3839160839160839,0.9282051282051282,0.9282051282051282
0.117704,880,1448,112,550,0.6153846153846154,0.6153846153846154,0.07179487179487179,0.38461538461538464,0.9282051282051282,0.9282051282051282
0.11786,880,1449,111,550,0.6153846153846154,0.6153846153846154,0.07115384615384615,0.38461538461538464,0.9288461538461539,0.9288461538461539
